right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
#b6877e,#9b6358,,#d1aca5,#b88a7e,,#6d4446,#dccfd9,,#7c5454,#d9c7d2,,#eed8d5,#ecd5d2,#efdcdb,#e7cbc6,#b57b6e,#d2a89f,#bb3841,#e07c81,,#ead5d4,#ae786d,,#e1c5c0,#b07067,,fall_mute
#685655,#af9895,,#524546,#a18885,,#3c2e35,#9c8a8b,,,,,#ddc6c7,#c9afac,,#dfcccb,#d0b6b1,#b59b90,#ae616f,#cb949b,,#d2b7b3,#ae8d87,,#d4bbb7,#a08171,,fall_mute
#734f3f,#9c7a68,,#a8816f,#bb9985,,#92776b,#503c33,,#9c847a,#b59e95,,#d4bead,#542f24,,#af8977,#5d4036,,#a46a62,#592928,,#ccaf9c,#71483c,,#c2a490,#734c40,,fall_mute
#775440,#95745e,,#ba9781,#99735b,,#61483f,#876d69,,#8b746c,#63493e,,#e2c7b7,#ceab93,#b18b70,#dfc8b9,#d0b19c,#ba957d,#c49e9a,#9a6458,,#ead5cb,#b7917f,,#aa836e,#dabfb0,,fall_mute
#b08d74,#634937,,#7c5d45,#ad8b70,,#473126,#ac8e7f,,#38261c,#8a7870,,#efceb9,#e2b79c,#be9076,#ecc8b1,#f4d8c5,#e3baa1,#d08e7f,#a26250,,#e7c2a7,#a97e61,,#dbb49a,#6a4b36,,fall_mute
#6e5c61,#928187,,,,,#8f838b,#2d2025,,#7e7279,#2a1e21,,#c7b5bc,#7e6f75,#a9999d,#c3b1b8,#a39296,#635b63,#a46d7b,#794952,,#b9a8af,#948488,,#b7a4aa,#705d62,,fall_mute
#a1867b,#685448,,#a68d87,#c6b1ad,,#5d4137,#b09289,,#56423e,#ae9b9d,,#e3c5c0,#d1b3b1,#bea09b,#e7c5b7,#ddbaac,#d1b1a6,#b88586,#8c525a,,#e2c4bb,#c19f97,,#cdafa8,#8d716c,,fall_mute
#5b3c2e,#8f6c58,,#b1907b,#754e3a,,#1e1513,#645a56,,,,,#e7dbd0,#dfccbe,#d6bba9,#ccaf9a,#9e755f,#53352b,#ad6d5c,#5a2d24,,#d7c1b2,#734e3e,,#ccb2a0,#6d493a,,fall_mute
#6f534c,#b79b94,,#c5afab,#8b736d,,#583c36,#9c7e7c,,#654841,#b49b99,,#e5ccc6,#eedcda,#d3b7b1,#e9d3cf,#dec2bb,#d1b0a9,#d998a0,#b17175,,#d4bab5,#735249,,#dcc1bb,#a27e7a,,fall_mute
#57443e,#6e5c57,,#4f3e38,#65544d,,#342b26,#736663,,#342d2a,#6c625d,,#ac958c,#e0c7c3,#c6ada5,#e6ceca,#d3b9b3,#af958c,#b27478,#773e3f,,#84675b,#e7d5cf,,#cdb5ae,#907469,,fall_mute
#5f3e31,#8f6856,,#614035,#916c5d,,#1e1514,#7e6c69,,#221918,#69514f,,#dfbaa7,#321f19,#b9907a,#dfbba8,#b28974,,#b56459,#702924,,#d9b39e,#865d4e,,#caa38e,#412922,,fall_mute
#3d2426,#987575,,#be9a96,#573736,,,,,#d9cbcc,#392021,,#f6d5d1,#f1ccc5,#ddb5b1,#d4a7a5,#bd918f,#936563,#9e5a5a,#ce908f,,#e3b9b5,#9e6f6c,,#e8c2bc,#a87d7d,,fall_mute
#5f5252,#9d8b89,,#443a33,#8b716a,,,,,#50443d,#b3a3a3,,#d6bfb6,#c3a694,#ccb2a4,#e6dad8,#e2d3d0,#decac1,#c08d95,#945e61,,#d1b8ae,#65463f,,#dbc7bf,#b49487,,fall_mute
#b09792,#dac3be,,#7a6157,#a88f86,,#ae9695,#3d2b2b,,#92817c,#473732,,#e2cac2,#ae978d,,#ecd3d1,#e2c7c3,#d5b7af,#d49d9d,#ae7273,,#d9c1b9,#b69c93,,#d9beb6,#856055,,fall_mute
#563d2e,#715645,,#573a29,#745744,,#755c52,#412e27,,#846759,#63493d,,#f7ddc1,#efcda7,#e3b98c,#a27857,#b28a6a,#c4a07e,#d6a88e,#9b6851,,#eed0af,#bf9673,,#e1bb95,#956f53,,fall_mute
#392d27,#68574f,,#66514a,#9b8a82,,#756660,#312a26,,#968782,#392e2b,,#ddd1ca,#d3c4ba,#e4dad4,#b6a097,#90766d,#60473f,#57352f,#a67e75,,#d8ccc3,#604a41,,#cab9af,#785d54,,fall_mute
#643632,#9b6964,,#b89789,#dfc3b7,,,,,#5d4038,#756160,,#f4d8cc,#e4cbbf,#f9e3de,#ead0c3,#d2b8ab,#b3978b,#c9908c,#e8bbb7,,#e9cdc1,#cfafa2,,#efd2c6,#c7a599,,fall_mute
#cdb1a6,#b2968d,,#442f21,#9d8577,,#332923,#908482,,#a89182,#221c16,,#d3b7b1,#a2857a,,#d5baad,#ddc4ba,#e4d0ca,#c89592,#a36c69,,#d7b9b2,#a68177,,#d5bcb0,#a08276,,fall_mute
#60443d,#a9877f,,#553b38,#a4847d,,#52332f,#c2a4a4,,#342528,#816a6c,,#d2b0af,#c09896,#e5ccca,#ecd4cf,#e2c3b9,#d6b1a5,#b6787c,#6c393e,,#d6b1a8,#7d4844,,#dec1bd,#aa7a76,,fall_mute
#4c3430,#725855,,#6c4f4d,#967774,,#493336,#9b888a,,#91797b,#3e2c2c,,#f3d1cc,#f8dcda,#e8c4bf,#eccbca,#d0adad,#e2bdbc,#c87d84,#974c53,,#f2d7d7,#bb9b98,,#e6c6c2,#967170,,fall_mute
,,,#8c756c,#c8b1a5,,,,,,,,#efd8c2,#f4e4d4,#ddc0a9,#e0c6b2,#805f5a,,#d49b97,#784846,,#e9d3c4,#65463b,,#e9d2bf,#87675e,,fall_mute
#886364,#3e2f31,,#8e6a69,#412725,,#a98588,#3a2321,,#402624,#947373,,#e2b5b6,#ecc6ca,#f6d7df,#e1bbbd,#27110d,#784b45,#cd8993,#9f595d,,#f0d2d6,#a76d69,,#d2a3a3,#532f2a,,fall_mute
,,,#987266,#c0998c,,#b49796,#3e2627,,#a88884,#63433d,,#eecabd,#d5b1a2,#b18b7b,#f2d0c9,#c39e93,#e1bdb1,#b35857,#ca827f,,#debaaf,#b4897b,,#dfbbaf,#9e6f66,,fall_mute
#b68563,#deb28f,,#583f32,#aa7a5a,,#9e6e58,#643c27,,#895d46,#4a2919,,#f2b68b,#f4bb92,#eeb086,#f6ceaa,#f3bf92,#e9ad7f,#d89a7c,#efb296,,#f1bf98,#dba57b,,#ebb68d,#91654c,,fall_mute
#8e7967,#594533,,#9e8a7b,#cebfb4,,#282220,#a6a1a0,,#3b322f,#c4c4c6,,#f7ddd1,#fae5dc,#f2d4c4,#e1ccc1,#d3bfb3,#c4aea1,#d28a84,#9c5046,,#f2dacb,#baa294,,#ecd4c7,#9c7568,,fall_mute
