right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
11570548,6506807,0,8150341,11373424,0,4665638,11308671,0,3679772,9074800,0,15716282,14924190,12620664,15517873,16046021,14858656,13667967,10642000,0,15254183,11173730,0,14398618,7031862,0,fall_mute
7232609,9601415,0,0,0,0,9405323,2957349,0,8286841,2760225,0,13088188,8351861,11312288,10917273,12956345,6839909,10775931,7948626,0,12167600,9798793,0,11969450,7298146,0,fall_mute
10585723,6837320,0,10915207,13021613,0,6111543,11571849,0,5653054,11443101,0,14861504,13611439,12427162,15189431,14531244,13742502,12092806,9196122,0,14993085,12821146,0,13414055,9072234,0,fall_mute
5913646,9399128,0,11636859,7687738,0,1971475,6576726,0,0,0,0,15129295,14666685,14072745,13479835,10450785,5518892,11365724,5909796,0,14139826,7556927,0,13415072,7161914,0,fall_mute
7295820,12032916,0,12955563,9139053,0,5782582,10255996,0,6177595,11177355,0,15059909,15654105,13809329,15389905,14730687,13808299,14194847,11563124,0,14007222,8413014,0,14467515,10649209,0,fall_mute
5719102,7232599,0,5193272,6640717,0,3418918,7562851,0,3419434,7103069,0,11310476,13086375,14796996,15060425,13809585,11441291,11695224,7814719,0,8611419,15127758,0,13415854,9466729,0,fall_mute
6241841,9398358,0,6373429,9530461,0,1708304,4865596,0,2234648,6902095,0,14662568,3284762,12227195,14662568,11634803,0,11887706,7482149,0,14267294,8805710,0,13280142,4270370,0,fall_mute
4006950,9991541,0,12491414,5715766,0,0,0,0,14273484,3743777,0,16176593,15846597,14529969,13936549,12292237,9462368,10377818,13537423,0,14924213,10383212,0,15254204,10976636,0,fall_mute
6246994,10324873,0,4471347,9138794,0,0,0,0,5194299,11575713,0,14073782,12822164,13415076,15129304,14865360,14600897,12619157,9723489,0,14007730,8347479,0,14403263,11834247,0,fall_mute
11573138,14336958,0,8020311,11046790,0,11441813,4008747,0,9601404,4667186,0,14929091,12757922,0,15520464,14730432,13940140,13933981,11432563,0,14270905,11967635,0,14270134,8675156,0,fall_mute
5651758,7427653,0,5716521,7624516,0,7691346,4271655,0,8677209,6506813,0,16178367,14924172,15649442,11042397,12556920,9595469,10382164,14199697,0,15650991,12555891,0,14793621,9793363,0,fall_mute
3747111,6838095,0,6705482,10193538,0,7693920,3222054,0,9799040,3616041,0,14471112,14932434,13878201,11968662,9270378,6178109,5715247,10911349,0,14208195,6310465,0,13285807,7888212,0,fall_mute
6567474,10185060,0,12097417,14664631,0,0,0,0,6044467,7363932,0,16046284,14994367,16376798,15190974,13282978,16048087,13078154,15120564,0,15322561,13610914,0,15717062,13084057,0,fall_mute
13480614,11703949,0,4468513,10323319,0,3352867,9471106,0,11047298,2235414,0,13809327,10519416,0,14006957,14533818,14995658,13145747,10775914,0,14137778,10912119,0,14007472,10519158,0,fall_mute
6440254,11241856,0,5585720,10781821,0,5255212,12427167,0,3417384,8481388,0,13742254,14994377,12621974,15520975,14861241,14070181,11958396,7158078,0,14070440,8407879,0,14533052,11106933,0,fall_mute
4994096,7493717,0,7098189,9860980,0,4797238,10193034,0,9533819,4074540,0,16044749,16309466,15320512,15518666,13675949,14859708,13204869,9981268,0,15914967,12295064,0,15124162,9859440,0,fall_mute
0,0,0,9073771,13086883,0,0,0,0,0,0,0,15718594,16049365,14532777,14730930,8413018,0,13999000,7948359,0,15389893,6900031,0,15323839,8939358,0,fall_mute
8412254,2630436,0,6176573,10319992,0,10912133,3481373,0,4204068,9728883,0,14857654,15517386,16177119,14793661,2560269,7883589,13470099,10377564,0,15782614,10972521,0,13804451,5451561,0,fall_mute
0,0,0,9990758,12622220,0,12098201,4336171,0,7294279,11703698,0,15583677,14004386,11635579,15913161,12820115,14794161,11753816,13271936,0,14597039,11897468,0,14662575,10317669,0,fall_mute
11961699,14594703,0,5783346,11172442,0,10251094,6240034,0,9002310,4860185,0,15906443,16038802,15642758,16174763,15975063,15446146,14195324,15708822,0,15843224,14394747,0,15447693,9594445,0,fall_mute
9336935,5784627,0,10521982,13812664,0,2630176,10920352,0,3879471,12895430,0,16310485,15980488,16443359,14600381,14929605,13416106,13798020,10244166,0,15915723,12231316,0,15520967,10253672,0,fall_mute
12887186,9465435,0,11373434,14005924,0,5980468,7758168,0,5126447,11178635,0,15387320,15979460,15123633,15848645,15584702,14926254,13407372,6502960,0,15717057,13346967,0,15058611,11961975,0,fall_mute
3156520,8022367,0,2235419,7232855,0,11509910,5391934,0,7165005,10982799,0,13284777,12361100,11109488,13351596,11908528,12498861,12224900,9590103,0,12492944,8017482,0,12625816,9135957,0,fall_mute
12822433,7625817,0,5388857,11834766,0,12621710,12886425,0,3614245,11373965,0,16044482,16376536,15056820,16443610,16243148,15255223,14457246,11295843,0,15649472,12094337,0,15584705,11897992,0,fall_mute
8612706,3681063,0,6178362,8743257,0,2891805,9406858,0,0,0,0,12428444,12033683,11441545,12692129,11441026,8940376,10115668,8204586,0,12033427,9069649,0,11704201,7819843,0,fall_mute
4537646,6905153,0,4865069,7364680,0,2894891,6051922,0,3420981,8617596,0,13743781,14994627,10718063,15128009,11771526,13481637,12027267,8474951,0,15524565,10191973,0,13416100,6573881,0,fall_mute
4010027,7561303,0,2103318,6179909,0,11773344,7297615,0,11379357,6837063,0,13546402,11307379,12688777,13877943,13876913,13481383,12222590,9786967,0,13150876,8477006,0,13282460,10319205,0,fall_mute
5058855,9332827,0,5123879,9530465,0,4729377,11371642,0,6241845,9529953,0,15650243,5779234,11369326,14991281,15781568,11701632,14591139,12546673,0,15518399,11238258,0,14200740,7752510,0,fall_mute
11901589,6901838,0,5520186,11045509,0,10650754,3943212,0,11241089,7425869,0,16377049,16242376,15648955,16044739,14991538,16376789,12941693,15651020,0,16045256,13936541,0,15716034,12554120,0,fall_mute
7890537,3220261,0,7692899,10850706,0,2693659,8416883,0,0,0,0,16113374,15257036,13743282,14269884,12033179,6706516,13932706,10839151,0,15851229,10584706,0,13743797,6771026,0,fall_mute
6439996,10913660,0,5323059,10256503,0,4730150,12227985,0,3547164,9992309,0,13545636,13875116,13150363,15653071,14928318,14138542,8797753,12484476,0,13939880,7159607,0,14269358,10381918,0,fall_mute
11178634,6113604,0,13745847,9533808,0,4209471,13941682,0,3551282,9404541,0,15982811,14533306,7557707,15652046,15388102,15784404,14127514,10374995,0,15653330,11239796,0,14927808,7688267,0,fall_mute
7098185,9533040,0,5650477,7625815,0,5717564,14798797,0,4533031,10650494,0,15321797,7034452,12098708,15321799,14400183,12492186,13602192,11425627,0,14729661,11768461,0,14137266,7295566,0,fall_mute
7820883,12557463,0,7819592,12424584,0,4993844,12031633,0,4468268,12164765,0,15381930,14592411,15843511,14857139,15647427,12885151,11096656,13731715,0,14791335,12488583,0,14067357,6700604,0,fall_mute
6242101,8347217,0,6835524,4140841,0,4337963,5784893,0,4272686,7362386,0,12230040,12821405,11770260,12690073,12230812,11901330,9787483,11766149,0,12429993,10913403,0,11967377,7755087,0,fall_mute
7955839,12298429,0,13220290,8351351,0,10852007,8022650,0,7165285,11836846,0,15520731,14204873,10651279,14991320,14001619,0,12949934,6504788,0,15259103,10519444,0,14400972,9926789,0,fall_mute
12429984,7824219,0,11509655,7890528,0,9407377,4603459,0,4866888,9670548,0,13086631,14007481,14799059,14863302,15456467,13678259,12486280,9262421,0,15391703,9992817,0,14074296,10715772,0,fall_mute
9267562,12097948,0,7689302,10321795,0,9735323,3746095,0,0,0,0,14466761,13479863,12360354,14137787,14729670,15452885,11890819,7025212,0,13677243,9462628,0,13808569,9924980,0,fall_mute
6503475,8213063,0,6111030,8215890,0,4007976,5584944,0,0,0,0,12559776,12098965,11638154,12954269,13612722,10060409,11764607,7290432,0,12032395,13616070,0,12493463,6439228,0,fall_mute
7296839,10717561,0,9598821,11967112,0,4931895,11706515,0,12364190,5589317,0,15319980,14529954,13477009,15188652,14661281,13149586,13145475,10315604,0,15452599,13280140,0,13741206,6507068,0,fall_mute
10189157,5781284,0,4005903,7886394,0,11371376,2954256,0,4004879,10649200,0,15123117,12884092,10712404,15978426,15714736,15385770,13271415,8800065,0,13870478,6830895,0,14398621,9396292,0,fall_mute
6441024,4403501,0,7296592,5324860,0,2565669,5851974,0,3026223,7101786,0,12360081,11767427,11043188,10252126,9726552,9003343,9461079,7553852,0,12162958,9201754,0,10912374,7557446,0,fall_mute
8809564,12624784,0,5784890,10718591,0,12561833,4470062,0,11772827,4601905,0,14533041,12754828,0,15254958,14464412,13279878,11101792,13144197,0,12293247,14730421,0,14268064,9003857,0,fall_mute
2301471,3024422,0,8085329,10848119,0,2957855,5852232,0,4274228,8878706,0,12953232,10977387,12161918,9268828,8151635,7165254,9131857,6304303,0,12425863,9465437,0,11570553,7558729,0,fall_mute
9006436,12954273,0,7361094,11769995,0,0,0,0,4730664,9927284,0,16376535,15980491,14267814,16377821,15455177,14533559,13801632,8209989,0,14927804,10122859,0,14994112,10188655,0,fall_mute
0,0,0,6443355,10655900,0,11771297,8017245,0,11710139,5853792,0,15193822,7164009,0,16248302,12955311,0,13806261,8282737,0,15392227,11835295,0,14864595,7494497,0,fall_mute
7487293,11369848,0,5384230,10121579,0,8744298,4663086,0,6306876,13089467,0,16377567,16177870,15713721,16110276,16042686,16243404,14192528,10637138,0,15781828,11762035,0,15846851,12415858,0,fall_mute
5718321,9335651,0,5060645,7165252,0,0,0,0,8216407,5651509,0,12954525,13942962,10127739,12953243,5385247,0,11433329,9720403,0,12822428,6964796,0,13151646,9988450,0,fall_mute
12359045,11108722,0,14004897,11766394,0,11832196,7622476,0,8739923,12949645,0,16047315,15847876,15386295,15388100,14268079,11371654,12020073,15249321,0,15584965,10710888,0,15387327,12356743,0,fall_mute
0,0,0,11047818,13285551,0,0,0,0,0,0,0,14075070,12428953,0,13087146,11310732,0,10446698,12752538,0,13218986,8611673,0,13087402,8939873,0,fall_mute
4598058,8479843,0,2628131,5322296,0,3809051,6112320,0,3481126,7755610,0,12885388,11899264,10715764,14135201,13214097,11964543,10645614,7355967,0,12030596,6701110,0,12162181,7360590,0,fall_mute
3678752,5650478,0,6505011,9596245,0,0,0,0,0,0,0,11767149,11043172,8805701,11766379,6961700,0,7946547,11764323,0,11107938,5713440,0,11437414,8540990,0,fall_mute
9794656,1314060,0,12027759,8870467,0,4140337,9799046,0,3285799,11903394,0,15249543,14326895,12813404,15250058,14459253,13076832,11299411,13140843,0,13208158,14590842,0,13538673,6834235,0,fall_mute
3088409,5915961,0,6441018,9203811,0,2563096,6641748,0,8745070,2825495,0,12823457,12362135,11901322,10519667,7691600,4272680,9983574,5712165,0,12296854,7230020,0,11703944,6704192,0,fall_mute
6508877,9798268,0,4272689,8350566,0,11770519,5127999,0,9665657,4010548,0,15980228,13414046,14795182,15914179,15058869,13743267,13602960,8340547,0,15915468,9727583,0,14664113,9662566,0,fall_mute
2299404,3087380,0,3089179,1970955,0,0,0,0,0,0,0,8083007,8543045,9135696,11634541,8937546,0,9067856,6371886,0,8214595,12622206,0,7885631,11042662,0,fall_mute
5128516,7693412,0,4537921,8154219,0,6312019,3551285,0,7960701,15066087,0,12428964,10257281,0,14599619,12558748,13809329,8936294,11636371,0,12034465,9664887,0,13744308,10322304,0,fall_mute
