b1,s1,v1,tone,saturation,brightness
0.0539203125,-0.32923351158645275,0.3607843137254902,cool,bright,dark
0.0822578125,-0.30380410228607574,0.34901960784313724,cool,bright,dark
0.1357609375,-0.13431372549019607,0.2980392156862745,cool,bright,dark
0.04368515625,-0.3785039941902687,0.45098039215686275,cool,bright,dark
0.156925,-0.17025346724055473,0.30196078431372547,cool,bright,dark
0.03149921875,-0.34599748156143184,0.35294117647058826,cool,bright,dark
0.05761875,-0.3183859050866723,0.30980392156862746,cool,bright,dark
0.14128046875,-0.22319972236682287,0.3843137254901961,cool,bright,dark
0.06071015625,-0.31935208866155157,0.4,cool,bright,dark
0.06197421875,-0.3184745457816154,0.35294117647058826,cool,bright,dark
0.03428359375,-0.3505846375247346,0.35294117647058826,cool,bright,dark
0.0194703125,-0.3266053340767586,0.3254901960784314,cool,bright,dark
0.09725703125,-0.24307753558276105,0.27058823529411763,cool,bright,dark
0.16468359375,-0.16711915535444952,0.36470588235294116,cool,bright,dark
0.09938515625,-0.2927557633932234,0.43529411764705883,cool,bright,dark
0.0369484375,-0.39973856209150327,0.3803921568627451,cool,bright,dark
0.05377421875,-0.31418785854953335,0.396078431372549,cool,bright,dark
0.13845390625,-0.23951734539969835,0.36470588235294116,cool,bright,dark
0.02800625,-0.38230266465560586,0.41568627450980394,cool,bright,dark
0.046484375,-0.34741532976827094,0.3607843137254902,cool,bright,dark
0.13777421875,-0.1732570806100218,0.34509803921568627,cool,bright,dark
0.04213203125,-0.3421434327155519,0.3568627450980392,cool,bright,dark
0.10541875,-0.2755456899741029,0.32941176470588235,cool,bright,dark
0.1070578125,-0.2347194050033807,0.40784313725490196,cool,bright,dark
0.0864125,-0.2769607843137255,0.2823529411764706,cool,bright,dark
0.01771953125,-0.419391976974276,0.35294117647058826,cool,bright,dark
0.0587890625,-0.3428698752228164,0.3607843137254902,cool,bright,dark
0.100315625,-0.2782164920762826,0.3568627450980392,cool,bright,dark
0.07418828125,-0.32100840336134456,0.3215686274509804,cool,bright,dark
0.109109375,-0.25650623885918,0.3607843137254902,cool,bright,dark
0.09445078125,-0.27014260249554367,0.3607843137254902,cool,bright,dark
0.07829609375,-0.30841239721695135,0.34901960784313724,cool,bright,dark
0.09194140625,-0.2722957125433906,0.3176470588235294,cool,bright,dark
0.14443828125,-0.20364145658263305,0.43137254901960786,cool,bright,dark
0.07862890625,-0.3040441176470588,0.25098039215686274,cool,bright,dark
0.086375,-0.2849796522382538,0.32941176470588235,cool,bright,dark
0.054378125,-0.3528379772961816,0.39215686274509803,cool,bright,dark
0.0147109375,-0.3793192748797632,0.32941176470588235,cool,bright,dark
